시군구,번지,계약년월,계약일,거래금액(만원),건축년도,단지명,전용면적(㎡),층,해제사유발생일
서울특별시 노원구 중계동,359-1,202409,30,"84,000",1992,주공5,76.51,1,20250225
서울특별시 노원구 중계동,512,202409,30,"38,000",1991,중계무지개,39.82,12,-
서울특별시 강남구 대치동,63,202409,30,"319,000",1984,"대치우성아파트1동,2동,3동,5동,6동,7동",115.59,4,-
서울특별시 강남구 대치동,316,202409,30,"262,500",1980,은마,76.79,4,20241016
서울특별시 강남구 대치동,316,202409,30,"262,500",1980,은마,76.79,4,-
서울특별시 강서구 방화동,819,202409,30,"75,000",1994,개화,101.86,3,-
대구광역시 달서구 이곡동,1304-1,202409,30,"22,000",1997,성서2동서화성,73.36,19,-
부산광역시 부산진구 연지동,406,202409,30,"42,500",2011,연지자이2차,84.9215,2,-
서울특별시 강서구 가양동,1490,202409,30,"71,250",1993,가양도시개발9-2단지,49.5,13,-
서울특별시 강남구 논현동,258,202409,30,"196,000",2004,두산위브2단지,106.829,5,-
서울특별시 강남구 압구정동,490,202409,30,"208,000",1977,한양1차(영동한양),49.98,1,-
서울특별시 강남구 압구정동,426,202409,30,"505,000",1982,신현대9차,108.88,9,-
대구광역시 수성구 범어동,305-3,202409,30,"61,000",1993,서한두레,84.925,6,-
대구광역시 수성구 범어동,2257,202409,30,"108,000",2019,범어센트럴푸르지오,84.993,43,20241007
대구광역시 달성군 논공읍 남리,224,202409,30,"4,000",1990,논공삼주,43.83,4,-
대구광역시 달성군 화원읍 명곡리,220,202409,30,"18,500",2001,미래빌5단지,59.42,7,-
대구광역시 달성군 다사읍 서재리,61,202409,30,"16,000",1999,서재보성2,84.95,17,-
대구광역시 수성구 범어동,2291,202409,30,"80,000",2023,수성범어W,84.9974,35,-
광주광역시 동구 월남동,638,202409,30,"28,000",2016,월남호반베르디움2차,78.2705,11,-
광주광역시 동구 학동,1012,202409,30,"30,500",2011,무등산리버파크,74.96,14,-
